epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,619.87,1.21902,8.70097,0.71061,1.03381,0.02287,12.5581,0.92994,0.92697,0.97284,0.73682,0.70689,0.46718,0.43312,0.18198,0.98976,4.98263,0.46069,0.42545,0.02318,0,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043,0.0099913,0.00333043
2,1090,1.08405,5.8556,0.60215,0.63886,0.0199,6.53954,0.94883,0.92112,0.97193,0.72563,0.72317,0.58892,0.55562,0.30748,1.01135,3.79617,0.35376,0.43214,0.02354,0,0.0195955,0.00653183,0.0195955,0.00653183,0.0195955,0.00653183,0.0195955,0.00653183
3,1534.67,1.1241,5.3828,0.50589,0.66709,0.02083,5.901,0.92283,0.91888,0.96656,0.72669,0.77557,0.6247,0.61966,0.36244,0.97437,3.47172,0.30619,0.4507,0.02292,0,0.0288036,0.00960122,0.0288036,0.00960122,0.0288036,0.00960122,0.0288036,0.00960122
4,2078.4,1.16389,5.12697,0.43082,0.6916,0.02163,5.50076,0.92845,0.91666,0.96796,0.74459,0.79054,0.63442,0.63014,0.38604,0.93554,3.32378,0.1858,0.4509,0.02228,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2813.71,1.1164,4.6671,0.38357,0.63413,0.02052,4.81542,0.92643,0.93398,0.97419,0.74315,0.78261,0.66248,0.65823,0.44015,0.95157,3.01187,0.16006,0.42869,0.02276,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5397.85,1.08611,4.33719,0.35434,0.60193,0.01974,4.35415,0.94318,0.94777,0.97911,0.75438,0.80631,0.68612,0.67462,0.4792,0.91764,2.78313,0.13264,0.37788,0.02184,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5950.66,1.06044,4.11185,0.33549,0.57997,0.01938,4.06534,0.94414,0.94563,0.97932,0.75933,0.83349,0.70554,0.71971,0.49388,0.87975,2.60093,0.12794,0.37032,0.02055,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6619.14,1.02738,3.88009,0.32334,0.55883,0.01864,3.72398,0.95249,0.94785,0.98103,0.77924,0.82617,0.73799,0.73611,0.54726,0.84493,2.46904,0.10141,0.35862,0.01974,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,8701.98,1.01282,3.77394,0.31197,0.54141,0.01827,3.56769,0.95778,0.95411,0.98459,0.80007,0.81415,0.74946,0.74281,0.55816,0.79179,2.42745,0.10924,0.32704,0.0182,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,9636.98,1.00243,3.67174,0.30331,0.54273,0.01808,3.38224,0.95457,0.96279,0.98516,0.80244,0.80213,0.75545,0.71605,0.53656,0.7821,2.4186,0.09119,0.30669,0.01778,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,10139.8,0.97522,3.51091,0.29514,0.51816,0.01735,3.1406,0.9519,0.95476,0.98351,0.79796,0.81571,0.7564,0.74382,0.57948,0.78957,2.30407,0.09963,0.33489,0.01839,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
